TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
14288602712210,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/plasma/extras
14288602733105,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/plasma/extras/animati
14288602741485,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/plasma/extras/private
14288602748178,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/plasma/platformcompon
14288602755217,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/plasma/accessdenied
14288602761511,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/plasma/calendar
14288602770699,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/plasma/components
14288602793199,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/plasma/components/pri
14288602803112,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/plasma/core
14288602813186,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/plasma/core/private
14288602819716,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/plasma/components.3
14288602846879,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/plasma/components.3/m
14288602854691,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/plasma/components.3/p
14288602865802,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/plasma/PimCalendars
14288602872666,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/private
14288602881075,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/private/kquickcontrol
14288602888109,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/kirigami.2
14288602928987,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/kirigami.2/styles
14288602942776,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/kirigami.2/styles/Mat
14288602951107,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/kirigami.2/styles/org
14288602958774,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/kirigami.2/styles/Pla
14288602965891,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/kirigami.2/swipenavig
14288602977665,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/kirigami.2/swipenavig
14288602984691,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/kirigami.2/settingsco
14288602991515,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/kirigami.2/templates
14288603004131,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/kirigami.2/templates/
14288603013338,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/kirigami.2/private
14288603028293,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/kirigami.2/private/gl
14288603037513,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/kquickcontrols
14288603044549,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/org/kde/kquickcontrolsaddons
14288603051281,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick.2
14288603058759,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQml
14288603070380,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQml/Models.2
14288603077554,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQml/StateMachine
14288603084576,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/Qt
14288603093010,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/Qt/labs
14288603103368,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/Qt/labs/settings
14288603110302,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/Qt/labs/folderlistmodel
14288603117326,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtMultimedia
14288603125339,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick
14288603150037,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls
14288603182967,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls/Styles
14288603199383,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls/Styles/Deskt
14288603223801,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls/Styles/Base
14288603259562,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls/Styles/Base/
14288603277786,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls/Styles/Flat
14288603285285,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls/Styles/Plasm
14288603303759,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls/Styles/Plasm
14288603311480,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls/Private
14288603341384,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Window.2
14288603348906,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Layouts
14288603355905,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/PrivateWidgets
14288603362828,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls.2
14288603405776,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls.2/Material
14288603433057,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls.2/designer
14288603458936,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls.2/designer/i
14288603496649,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls.2/Imagine
14288603520801,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls.2/Fusion
14288603546577,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls.2/org.kde.de
14288603571479,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls.2/org.kde.de
14288603580860,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls.2/Plasma
14288603607390,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls.2/Plasma/mob
14288603615117,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls.2/Plasma/pri
14288603625869,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Controls.2/Universal
14288603650406,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Templates.2
14288603657845,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Dialogs
14288603679214,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Dialogs/qml
14288603689974,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Dialogs/images
14288603700058,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Dialogs/Private
14288603707293,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtQuick/Shapes
14288603714744,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/GSettings.1.0
14288603722039,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtGraphicalEffects
14288603740900,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/qml/QtGraphicalEffects/private
14288603754387,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/bin
14288603784557,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins
14288603907926,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/platforms
14288603919421,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/kauth
14288603931243,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/kauth/backend
14288603937815,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/kauth/helper
14288603944501,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/konqueror_kcms
14288603954033,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/playlistformats
14288603960552,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/printsupport
14288603967002,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/bearer
14288603974401,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/imageformats
14288603984282,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/styles
14288603991038,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/dolphinpart
14288603999808,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/dolphinpart/kpartplugins
14288604021958,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/xcbglintegrations
14288604028788,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/rocs
14288604039725,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/rocs/fileformats
14288604048384,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/rocs/editorplugins
14288604056216,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/wayland-graphics-integrat
